SUMMARY_LOG,LOWER_LIMIT,UPPER_LIMIT,SPOT_METRIC_LIV_LOG,DISTANCE_LIV_TEMPERATURE,MIN_ABNORMAL_RANGE,MAX_ABNORMAL_RANGE,INCLUDE_OK2SEND
EOLR_alignment_60cm_dist_58F_min_x,,,EOLR_alignment_60cm_dist_58F_min_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_min_y,,,EOLR_alignment_60cm_dist_58F_min_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_min_fitError,,,EOLR_alignment_60cm_dist_58F_min_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_max,-2,3,EOLR_alignment_60cm_dist_58F_max,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_max_x,,,EOLR_alignment_60cm_dist_58F_max_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_max_y,,,EOLR_alignment_60cm_dist_58F_max_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_max_fitError,,,EOLR_alignment_60cm_dist_58F_max_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_range,,,EOLR_alignment_60cm_dist_58F_range,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_58F_stDev,,,EOLR_alignment_60cm_dist_58F_stDev,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_min,-2,2,EOLR_alignment_60cm_dist_68F_min,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_min_x,,,EOLR_alignment_60cm_dist_68F_min_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_min_y,,,EOLR_alignment_60cm_dist_68F_min_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_min_fitError,,,EOLR_alignment_60cm_dist_68F_min_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_max,-2,3,EOLR_alignment_60cm_dist_68F_max,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_max_x,,,EOLR_alignment_60cm_dist_68F_max_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_max_y,,,EOLR_alignment_60cm_dist_68F_max_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_max_fitError,,,EOLR_alignment_60cm_dist_68F_max_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_range,,,EOLR_alignment_60cm_dist_68F_range,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_68F_stDev,,,EOLR_alignment_60cm_dist_68F_stDev,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_min,,,EOLR_alignment_60cm_dist_BL_min,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_min_x,,,EOLR_alignment_60cm_dist_BL_min_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_min_y,,,EOLR_alignment_60cm_dist_BL_min_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_min_fitError,,,EOLR_alignment_60cm_dist_BL_min_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_max,,,EOLR_alignment_60cm_dist_BL_max,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_max_x,,,EOLR_alignment_60cm_dist_BL_max_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_max_y,,,EOLR_alignment_60cm_dist_BL_max_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_max_fitError,,,EOLR_alignment_60cm_dist_BL_max_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_range,,,EOLR_alignment_60cm_dist_BL_range,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BL_stDev,,,EOLR_alignment_60cm_dist_BL_stDev,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_min,,,EOLR_alignment_60cm_dist_TL_min,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_min_x,,,EOLR_alignment_60cm_dist_TL_min_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_min_y,,,EOLR_alignment_60cm_dist_TL_min_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_min_fitError,,,EOLR_alignment_60cm_dist_TL_min_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_max,,,EOLR_alignment_60cm_dist_TL_max,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_max_x,,,EOLR_alignment_60cm_dist_TL_max_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_max_y,,,EOLR_alignment_60cm_dist_TL_max_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_max_fitError,,,EOLR_alignment_60cm_dist_TL_max_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_range,,,EOLR_alignment_60cm_dist_TL_range,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TL_stDev,,,EOLR_alignment_60cm_dist_TL_stDev,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_min,,,EOLR_alignment_60cm_dist_BR_min,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_min_x,,,EOLR_alignment_60cm_dist_BR_min_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_min_y,,,EOLR_alignment_60cm_dist_BR_min_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_min_fitError,,,EOLR_alignment_60cm_dist_BR_min_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_max,,,EOLR_alignment_60cm_dist_BR_max,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_max_x,,,EOLR_alignment_60cm_dist_BR_max_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_max_y,,,EOLR_alignment_60cm_dist_BR_max_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_max_fitError,,,EOLR_alignment_60cm_dist_BR_max_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_range,,,EOLR_alignment_60cm_dist_BR_range,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_BR_stDev,,,EOLR_alignment_60cm_dist_BR_stDev,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TR_min,,,EOLR_alignment_60cm_dist_TR_min,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TR_min_x,,,EOLR_alignment_60cm_dist_TR_min_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TR_min_y,,,EOLR_alignment_60cm_dist_TR_min_y,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TR_min_fitError,,,EOLR_alignment_60cm_dist_TR_min_fitError,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TR_max,,,EOLR_alignment_60cm_dist_TR_max,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TR_max_x,,,EOLR_alignment_60cm_dist_TR_max_x,Rx,None,None,TRUE
EOLR_alignment_60cm_dist_TR_max_y,,,EOLR_alignment_60cm_dist_TR_max_y,Rx,None,None,TRUE
